bfs_number,german,french,italian,english,coat_of_arms
4551,Aadorf,Aadorf,Aadorf,Aadorf,http://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Wappen_Aadorf.svg/120px-Wappen_Aadorf.svg.png
4001,Aarau,Aarau,Aarau,Aarau,http://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Wappen_Aarau.svg/120px-Wappen_Aarau.svg.png
0301,Aarberg,Aarberg,Aarberg,Aarberg,http://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Aarberg-coat_of_arms.svg/120px-Aarberg-coat_of_arms.svg.png
4271,Aarburg,Aarburg,Aarburg,Aarburg,http://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Wappen_Aarburg.svg/120px-Wappen_Aarburg.svg.png
0321,Aarwangen,Aarwangen,Aarwangen,Aarwangen,http://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Aarwangen-coat_of_arms.svg/120px-Aarwangen-coat_of_arms.svg.png
4221,Abtwil AG,Abtwil (Argovie),Abtwil (Argovia),"Abtwil, Aargau",http://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Wappen_Abtwil_AG.svg/120px-Wappen_Abtwil_AG.svg.png
5621,Aclens,Aclens,Aclens,Aclens,http://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Wappen_Aclens.svg/120px-Wappen_Aclens.svg.png
5048,Acquarossa,Acquarossa (Suisse),Acquarossa,"Acquarossa, Switzerland",http://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Acquarossa-coat_of_arms.svg/120px-Acquarossa-coat_of_arms.svg.png
0561,Adelboden,Adelboden,Adelboden,Adelboden,http://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Adelboden-coat_of_arms.svg/120px-Adelboden-coat_of_arms.svg.png
1051,Adligenswil,Adligenswil,Adligenswil,Adligenswil,http://upload.wikimedia.org/wikipedia/commons/7/71/Pic_Adligenswil.png
0021,Adlikon bei Andelfingen,Adlikon bei Andelfingen,Adlikon,Adlikon bei Andelfingen,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Adlikon-blazon.svg/120px-Adlikon-blazon.svg.png
0131,Adliswil,Adliswil,Adliswil,Adliswil,http://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Adliswil-blazon.svg/120px-Adliswil-blazon.svg.png
2421,Aedermannsdorf,Aedermannsdorf,Aedermannsdorf,Aedermannsdorf,http://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Aedermannsdorf-blason.png/120px-Aedermannsdorf-blason.png
0401,Aefligen,Aefligen,Aefligen,Aefligen,http://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Aefligen-coat_of_arms.svg/120px-Aefligen-coat_of_arms.svg.png
0731,Aegerten,Aegerten,Aegerten,Aegerten,http://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Aegerten-coat_of_arms.svg/120px-Aegerten-coat_of_arms.svg.png
2761,Aesch BL,Aesch (Bâle-Campagne),Aesch (Basilea),"Aesch, Basel-Country",http://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Coat_of_arms_of_Aesch_BL.svg/120px-Coat_of_arms_of_Aesch_BL.svg.png
1021,Aesch LU,Aesch (Lucerne),Aesch (Lucerna),"Aesch, Lucerne",http://upload.wikimedia.org/wikipedia/commons/4/44/Pic_Aesch.png
0241,Aesch ZH,Aesch (Zurich),Aesch bei Birmensdorf,"Aesch, Zurich",http://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Aesch-blazon.svg/120px-Aesch-blazon.svg.png
2511,Aeschi SO,Aeschi (Soleure),Aeschi (Soletta),Aeschi,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Aeschi-blason.png/120px-Aeschi-blason.png
